[10, 0, 0, 0, 0, 0, 0, 0, 0]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[50.3, 64.405-1.3485j, 28.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[48.5, 35.799-3.011j, 25.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
[100.0, 20.071-0.458j,0.0, 0.05, 0.15 ,0.4, 0.6, 0.85 ,0.95]
